stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_point,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,shelter,bench,lit,bay,device_charging_station
UCR_0_00,,Facultad de Educación,Frente al jardín de la Facultad de Educación (FE),9.935610136323218,-84.04899295728595,SRID=4326;POINT (-84.04899295728595 9.935610136323218),UCR_0,https://buses.ucr.ac.cr/paradas/UCR_0_00,0,,1,yes,yes,yes,yes,yes
UCR_0_01,,Escuela de Artes Plásticas,Nuevo edificio de la Escuela de Artes Plásticas (EAP),9.935501598287884,-84.05217559901489,SRID=4326;POINT (-84.05217559901489 9.935501598287884),UCR_0,https://buses.ucr.ac.cr/paradas/UCR_0_01,0,,1,yes,yes,yes,yes,yes
UCR_0_02,,Biblioteca de Ciencias de la Salud,"Frente al antiguo edificio de la Facultad de Odontología (FOd), diagonal al parqueo de la Biblioteca de Ciencias de la Salud ",9.93860832346218,-84.0517499001992,SRID=4326;POINT (-84.0517499001992 9.93860832346218),UCR_0,https://buses.ucr.ac.cr/paradas/UCR_0_02,0,,1,yes,yes,yes,yes,no
UCR_0_03,,Facultad de Microbiología,"Esquina noreste del parqueo de las Escuelas de Artes Musicales (EAM), Química (EQ) y Biología (EB) y la Facultad de Microbiología (FMic)",9.93832361909286 ,-84.04876049840074,SRID=4326;POINT (-84.04876049840074 9.93832361909286 ),UCR_0,https://buses.ucr.ac.cr/paradas/UCR_0_03,0,,1,yes,yes,yes,yes,yes
UCR_0_04,,Centro de Transferencia Tecnológica (CTT),"Junto al parqueo del Centro de Transferencia Tecnológica (CTT), diagonal al Laboratorio Nacional de Materiales y Modelos Estructurales (LANAMME)",9.935903915437937,-84.04537504744147,SRID=4326;POINT (-84.04537504744147 9.935903915437937),UCR_0,https://buses.ucr.ac.cr/paradas/UCR_0_04,0,,2,no,no,no,no,no
UCR_0_05,FING-A,Facultad de Ingeniería,Costado norte del nuevo edificio de la Facultad de Ingeniería (FI),9.937467311441507,-84.04467644300775,SRID=4326;POINT (-84.04467644300775 9.937467311441507),UCR_0,https://buses.ucr.ac.cr/paradas/UCR_0_05,0,,2,yes,yes,yes,yes,no
UCR_0_06,,Facultad de Ciencias Sociales,Entre la Facultad de Ciencias Sociales (FCS) y el edificio de parqueos,9.938029607676915,-84.04237892478906,SRID=4326;POINT (-84.04237892478906 9.938029607676915),UCR_0,https://buses.ucr.ac.cr/paradas/UCR_0_06,0,,2,no,no,no,no,no
UCR_0_07,,Instituto de Investigación en Educación (INIE),Costado sur del edificio del Instituto de Investigación en Educación (INIE),9.939461647823137,-84.04307776266035,SRID=4326;POINT (-84.04307776266035 9.939461647823137),UCR_0,https://buses.ucr.ac.cr/paradas/UCR_0_07,0,,2,no,no,no,no,no
UCR_0_08,,Centro de Investigación en Cirugía y Cáncer (CICICA),Costado sur del edificio del Centro de Investigación en Cirugía y Cáncer (CICICA),9.940155168862551,-84.04450675690296,SRID=4326;POINT (-84.04450675690296 9.940155168862551),UCR_0,https://buses.ucr.ac.cr/paradas/UCR_0_08,0,,2,no,no,no,no,no
UCR_0_09,,Entrada de las Instalaciones Deportivas (Finca 3),En la entrada principal al sur de las instalaciones deportivas de la Finca 3,9.94119204389136,-84.04475066837327,SRID=4326;POINT (-84.04475066837327 9.94119204389136),UCR_0,https://buses.ucr.ac.cr/paradas/UCR_0_09,0,,2,no,no,no,no,no
UCR_0_10,,Escuela de Educación Física y Deportes (EDUFI),Costado este de las canchas multiuso y de la Escuela de Educación Física y Deportes (EDUFI),9.943413920391434,-84.04488346245408,SRID=4326;POINT (-84.04488346245408 9.943413920391434),UCR_0,https://buses.ucr.ac.cr/paradas/UCR_0_10,0,,2,no,no,no,no,no
UCR_0_11,,Facultad de Odontología,En el nuevo edificio de la Facultad de Odontología (FOd) en la Finca 3,9.946441050827925,-84.0451915613564,SRID=4326;POINT (-84.0451915613564 9.946441050827925),UCR_0,https://buses.ucr.ac.cr/paradas/UCR_0_11,0,,2,no,no,no,no,no
UCR_1_00,,Facultad de Odontología,En el nuevo edificio de la Facultad de Odontología (FOd) en la Finca 3,9.946441050827925,-84.0451915613564,SRID=4326;POINT (-84.0451915613564 9.946441050827925),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_00,0,,2,no,no,no,no,no
UCR_1_01,,Escuela de Educación Física y Deportes (EDUFI),Costado este de las canchas multiuso y de la Escuela de Educación Física y Deportes (EDUFI),9.943381444081362,-84.04495180739714,SRID=4326;POINT (-84.04495180739714 9.943381444081362),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_01,0,,2,yes,yes,yes,no,yes
UCR_1_02,,Entrada de las Instalaciones Deportivas (Finca 3),En la entrada principal al sur de las instalaciones deportivas de la Finca 3,9.941220574743566,-84.04483991497501,SRID=4326;POINT (-84.04483991497501 9.941220574743566),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_02,0,,2,no,no,no,no,no
UCR_1_03,,Escuela de Nutrición,Esquina noreste del edificio de la Escuela de Nutrición (ENu),9.939134591559855,-84.04468654565294,SRID=4326;POINT (-84.04468654565294 9.939134591559855),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_03,0,,2,no,no,no,no,no
UCR_1_04,,Parqueo Integral Universitario,Entre el edificio de parqueos y el Centro de Investigación en Ciencias del Mar y Limnología (CIMAR),9.938980381389706,-84.0436758508172,SRID=4326;POINT (-84.0436758508172 9.938980381389706),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_04,0,,1,yes,yes,yes,no,no
UCR_1_05,,Centro de Investigación en Matemática Pura y Aplicada (CIMPA),Frente al edificio del Centro de Investigación en Matemática Pura y Aplicada (CIMPA),9.939472792042086,-84.042189216776,SRID=4326;POINT (-84.042189216776 9.939472792042086),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_05,0,,2,no,no,no,no,no
UCR_1_06,,Facultad de Ciencias Sociales,Entre la Facultad de Ciencias Sociales (FCS) y el edificio de parqueos,9.938130529026141,-84.04229551510366,SRID=4326;POINT (-84.04229551510366 9.938130529026141),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_06,0,,1,yes,yes,yes,no,yes
UCR_1_07,FING-B,Facultad de Ingeniería (externa),"Costado norte del nuevo edificio de la Facultad de Ingeniería (FI), al otro lado de la calle",9.937468669419962,-84.04501822768842,SRID=4326;POINT (-84.04501822768842 9.937468669419962),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_07,0,,1,yes,yes,yes,no,yes
UCR_1_08,,Centro de Transferencia Tecnológica (CTT),"Junto al parqueo del Centro de Transferencia Tecnológica (CTT), diagonal al Laboratorio Nacional de Materiales y Modelos Estructurales (LANAMME), al otro lado de la calle",9.93589305371453,-84.04546950911886,SRID=4326;POINT (-84.04546950911886 9.93589305371453),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_08,0,,2,no,no,no,no,no
UCR_1_09,,Facultad de Educación,Frente al jardín de la Facultad de Educación (FE),9.935610136323218,-84.04899295728595,SRID=4326;POINT (-84.04899295728595 9.935610136323218),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_09,0,,1,yes,yes,yes,yes,yes
UCR_1_10,,Escuela de Artes Plásticas,Nuevo edificio de la Escuela de Artes Plásticas (EAP),9.935501598287884,-84.05217559901489,SRID=4326;POINT (-84.05217559901489 9.935501598287884),UCR_1,https://buses.ucr.ac.cr/paradas/UCR_1_10,0,,1,yes,yes,yes,yes,yes